GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26
0400000US23,23,Maine,1311747,5731,1267507,5683,44240,3237,26225,2569,18015,2753,1140136,8998,1102811,9715,37325,2950,23142,2405,14183,2360,99353,6301,95195,6343,4158,1234,1935,792,2223,898,44833,4627,43832,4634,1001,471,449,303,552,359,27425,3471,25669,3281,1756,952,699,410,1057,925
0400000US24,24,Maryland,5958135,13212,5059429,20349,898706,16887,486063,13230,412643,14702,5168350,22507,4392117,23100,776233,17930,432010,12045,344223,14158,440573,18974,369063,16704,71510,7663,31064,4246,40446,5528,165312,10738,141207,9814,24105,3073,11042,2350,13063,2572,183900,9130,157042,7759,26858,3963,11947,2270,14911,2859
0400000US25,25,Massachusetts,6738879,15487,5639359,23571,1099520,17657,603917,12979,495603,16074,5888011,21681,4945524,22835,942487,18549,539837,13030,402650,14843,477834,18069,380788,17212,97046,8529,37215,4872,59831,6405,200001,10776,164348,8853,35653,4596,16980,2881,18673,3384,173033,9705,148699,8884,24334,3489,9885,2069,14449,2411
0400000US26,26,Michigan,9802154,13274,9132093,20057,670061,17143,355559,10133,314502,13524,8450559,29643,7877907,32103,572652,15185,324082,8957,248570,12064,820211,24768,760826,23161,59385,5900,18467,2818,40918,5284,383325,11800,362584,11295,20741,3118,8032,1339,12709,2586,148059,9066,130776,7991,17283,2945,4978,1291,12305,2582
0400000US27,27,Minnesota,5497150,11313,5034140,13171,463010,10686,254126,8942,208884,10161,4728748,17295,4341745,16848,387003,9864,220700,8509,166303,8545,401563,15092,355744,12657,45819,5527,19530,3120,26289,4248,241709,8407,221054,7687,20655,3273,9378,2067,11277,2365,125130,8352,115597,7797,9533,1877,4518,1178,5015,1350
0400000US28,28,Mississippi,2944987,11422,2884400,12590,60587,4829,27274,3920,33313,4016,2553271,15365,2501084,15009,52187,4777,24707,3632,27480,3985,201092,12130,196792,11771,4300,1527,1351,844,2949,1069,112581,7593,110590,7592,1991,1047,397,312,1594,971,78043,8539,75934,8403,2109,846,819,484,1290,584
0400000US29,29,Missouri,6003727,18045,5759315,20763,244412,9490,125048,7000,119364,6700,5108238,22203,4905401,23237,202837,8715,107516,6590,95321,6130,491377,17506,470333,17419,21044,4042,9364,2017,11680,2945,250828,11303,242759,11128,8069,1787,3601,1116,4468,1348,153284,10922,140822,9841,12462,2592,4567,1426,7895,1854
0400000US30,30,Montana,1027754,5582,1006200,5159,21554,2686,12040,1857,9514,1577,883342,6867,865381,6950,17961,2250,10235,1637,7726,1183,83667,5723,81583,5452,2084,1159,800,556,1284,897,32733,2979,32121,2915,612,395,458,386,154,140,28012,3980,27115,3876,897,570,547,478,350,307
0400000US31,31,Nebraska,1878281,7923,1745375,8146,132906,6601,55217,4990,77689,5808,1586729,11557,1475749,11015,110980,5906,47095,4431,63885,5238,174670,10132,159616,8997,15054,3026,4034,1464,11020,2669,69122,5413,64781,4978,4341,2142,3117,1984,1224,593,47760,4274,45229,3970,2531,864,971,462,1560,728
0400000US32,32,Nevada,2911456,13653,2332980,15614,578476,13577,289662,9113,288814,10592,2430163,15771,1923634,18225,506529,11681,257020,8277,249509,9638,357716,15708,297450,12562,60266,5916,27171,3616,33095,3983,25351,4242,24160,4157,1191,465,656,359,535,269,98226,7925,87736,7481,10490,2301,4815,1351,5675,1772
0400000US33,33,New Hampshire,1313196,8449,1237742,9220,75454,5472,41589,3810,33865,4125,1134244,9693,1069975,9588,64269,4904,38568,3647,25701,3339,101474,6491,93837,6443,7637,2029,1980,670,5657,1859,35738,4400,35165,4355,573,264,359,199,214,172,41740,4716,38765,4387,2975,984,682,401,2293,949
